,Unnamed: 0,Volume,Last,Chg,% Chg
0,iCoreConnect Inc. (ICCT),132.2M,4.78,2.71,130.92
1,Tivic Health Systems Inc. (TIVC),32.0M,4.65,1.4,43.07
2,Creative Global Technology Holdings Ltd. (CGTL),729.2K,5.39,1.24,29.88
3,Alaunos Therapeutics Inc. (TCRT),1.9M,3.51,0.71,25.36
4,Old Point Financial Corp. (OPOF),175.0K,36.31,6.4,21.4
5,Click Holdings Ltd. (CLIK),172.2K,2.69,0.36,15.45
6,Goodyear Tire & Rubber Co. (GT),12.7M,10.46,1.33,14.64
7,Skyline Builders Group Holding Ltd. Cl A (SKBL),860.8K,11.61,1.25,12.07
8,BingEx Ltd. ADR (FLX),111.3K,2.5,0.26,11.36
9,Lamb Weston Holdings Inc. (LW),5.0M,59.64,5.5,10.15
10,LZ Technology Holdings Ltd. Cl B (LZMH),181.7K,7.85,0.69,9.63
11,Medicus Pharma Ltd. (MDCX),62.8K,3.71,0.31,9.12
12,Corp. Inmobiliaria Vesta S.A.B. de C.V. ADR (VTMX),122.9K,24.78,1.98,8.68
13,Molina Healthcare Inc. (MOH),749.1K,356.38,27.89,8.49
14,Nyxoah S.A. (NYXH),168.2K,7.05,0.55,8.46
15,Junee Ltd. (JUNE),86.3K,11.65,0.84,7.77
16,Baird Medical Investment Holdings Ltd. (BDMD),55.5K,5.92,0.42,7.64
17,Collective Mining Ltd. (CNL),98.7K,9.67,0.59,6.5
18,Algorhythm Holdings Inc. (RIME),95.9K,2.26,0.14,6.37
19,POET Technologies Inc. (POET),935.9K,4.1,0.24,6.22
20,Regencell Bioscience Holdings Ltd. (RGC),55.1K,24.99,1.46,6.2
21,Aditxt Inc. (ADTX),90.8K,5.3,0.3,6.0
22,National Grid PLC ADR (NGG),653.8K,69.45,3.67,5.58
23,StoneCo Ltd. Cl A (STNE),4.4M,11.32,0.58,5.45
24,Centene Corp. (CNC),2.7M,63.92,3.19,5.25
25,Alignment Healthcare Inc. (ALHC),909.1K,18.76,0.91,5.1
26,Unilever PLC ADR (UL),3.6M,62.82,2.96,4.94
27,Dollar General Corp. (DG),5.7M,94.6,4.41,4.88
28,Telefonica S.A. ADR (TEF),795.4K,4.9,0.23,4.85
29,Newsmax Inc. Cl B (NMAX),4.2M,55.0,2.48,4.72
30,American Water Works Co. (AWK),1.3M,153.0,6.81,4.66
31,Fresenius Medical Care AG (FMS),256.9K,25.88,1.15,4.65
32,PagSeguro Digital Ltd. Cl A (PAGS),3.4M,8.36,0.37,4.63
33,Kroger Co. (KR),6.7M,70.4,3.13,4.65
34,Companhia de Saneamento Basico do Estado de Sao Paulo ADR (SBS),591.9K,18.73,0.81,4.52
35,UnitedHealth Group Inc. (UNH),2.6M,545.23,22.03,4.21
36,Coca-Cola Europacific Partners PLC (CCEP),2.3M,91.06,3.65,4.18
37,Middlesex Water Co. (MSEX),62.5K,66.53,2.66,4.16
38,Zhengye Biotechnology Holding Ltd. (ZYBT),532.0K,5.16,0.2,4.03
39,America Movil S.A.B. de C.V. ADR (AMX),1.6M,15.04,0.58,4.01
40,Elevance Health Inc. (ELV),1.4M,446.46,17.13,3.99
41,Protara Therapeutics Inc. (TARA),101.3K,4.46,0.17,3.96
42,SBA Communications Corp. (SBAC),768.5K,228.02,8.68,3.96
43,British American Tobacco PLC ADR (BTI),4.3M,41.84,1.58,3.94
44,Oriental Culture Holding Ltd. (OCG),54.5K,3.53,0.13,3.82
45,Essential Utilities Inc. (WTRG),632.1K,40.9,1.5,3.82
46,Philip Morris International Inc. (PM),4.7M,162.04,5.87,3.76
47,FTC Solar Inc. (FTCI),103.6K,3.06,0.11,3.73
48,First Solar Inc. (FSLR),5.9M,134.65,4.83,3.72
49,AstraZeneca PLC ADR (AZN),3.7M,74.89,2.67,3.7
50,Fomento Economico Mexicano S.A.B. de C.V. ADR (FMX),306.7K,103.61,3.68,3.68
51,American Tower REIT (AMT),2.2M,225.88,7.98,3.66
52,Omega Healthcare Investors Inc. (OHI),1.4M,39.26,1.38,3.63
53,Coca-Cola Femsa S.A.B. de C.V. ADR (KOF),158.1K,98.47,3.41,3.59
54,Universe Pharmaceuticals Inc. (UPC),65.6K,2.9,0.1,3.57
55,KT Corp. ADR (KT),394.8K,17.9,0.59,3.41
56,Telefonica Brasil S.A. ADR (VIV),342.9K,9.3,0.3,3.39
57,Ambev S.A. ADR (ABEV),23.1M,2.44,0.08,3.39
58,Cosan S.A. ADR (CSAN),896.9K,5.5,0.18,3.38
59,Companhia Paranaense de Energia-COPEL ADR (ELP),63.0K,7.66,0.25,3.37
60,Centrais Eletricas Brasileiras S/A ADR (EBR),743.1K,7.36,0.24,3.37
61,Canadian Imperial Bank of Commerce (CM),924.4K,59.83,1.94,3.36
62,Grocery Outlet Holding Corp. (GO),1.3M,14.18,0.46,3.35
63,Haleon PLC ADR (HLN),8.1M,10.5,0.34,3.35
64,McKesson Corp. (MCK),1.0M,716.73,23.2,3.35
65,TIM S/A ADR (TIMB),252.1K,16.49,0.53,3.32
66,MarketAxess Holdings Inc. (MKTX),363.9K,217.61,6.78,3.22
67,KE Holdings Inc. ADR (BEKE),7.0M,21.08,0.66,3.21
68,Colgate-Palmolive Co. (CL),2.3M,96.48,2.94,3.14
69,American States Water Co. (AWR),65.6K,80.24,2.44,3.13
70,GSK PLC ADR (GSK),4.4M,38.81,1.17,3.12
71,Fortis Inc. (FTS),221.5K,47.6,1.44,3.12
72,Banco Bradesco S/A Pref ADR (BBD),23.1M,2.28,0.07,3.08
73,Itau Unibanco Holding S/A ADR (ITUB),14.0M,5.7,0.17,3.08
74,Equity Lifestyle Properties Inc. (ELS),1.1M,68.71,2.05,3.08
75,TELUS Corp. (TU),1.5M,14.42,0.43,3.07
76,California Water Service Group (CWT),142.2K,49.99,1.49,3.07
77,Vodafone Group PLC ADR (VOD),9.1M,9.4,0.28,3.07
78,Johnson & Johnson (JNJ),6.2M,160.08,4.72,3.04
79,CME Group Inc. Cl A (CME),1.8M,270.4,7.86,2.99
80,BJ's Wholesale Club Holdings Inc. (BJ),1.4M,118.38,3.41,2.97
81,BBB Foods Inc. (TBBB),331.4K,28.04,0.79,2.9
82,Humana Inc. (HUM),461.4K,273.49,7.69,2.89
83,Church & Dwight Co. (CHD),1.4M,111.45,3.13,2.89
84,General Mills Inc. (GIS),4.1M,60.88,1.69,2.86
85,Pilgrim's Pride Corp. (PPC),828.2K,50.4,1.4,2.85
86,J&J Snack Foods Corp. (JJSF),71.8K,134.57,3.71,2.84
87,Albertsons Cos. Inc. (ACI),3.3M,23.06,0.64,2.83
88,Cigna Group (CI),1.0M,341.3,9.38,2.83
89,Duke Energy Corp. (DUK),2.7M,123.74,3.35,2.79
90,Cencora Inc. (COR),1.1M,287.24,7.72,2.76
91,Consolidated Edison Inc. (ED),1.3M,112.54,2.96,2.7
92,Coca-Cola Co. (KO),13.5M,73.21,1.88,2.64
93,Tradeweb Markets Inc. (TW),775.6K,152.33,3.84,2.59
94,SJW Group (SJW),90.9K,55.25,1.38,2.56
95,Exelon Corp. (EXC),4.8M,47.15,1.18,2.57
