,Unnamed: 0,Volume,Last,Chg,% Chg
0,TTEC Holdings Inc. (TTEC),17.2M,4.99,1.72,52.6
1,CervoMed Inc. (CRVO),2.9M,13.58,3.6,36.07
2,Alumis Inc. (ALMS),2.8M,9.84,2.6,35.91
3,Alaunos Therapeutics Inc. (TCRT),13.7M,2.8,0.64,29.63
4,Tivic Health Systems Inc. (TIVC),976.8K,3.25,0.73,28.97
5,Micropolis Holding Co. (MCRP),205.8K,3.56,0.66,22.76
6,Cognyte Software Ltd. (CGNT),2.0M,9.95,1.73,21.05
7,Bionano Genomics Inc. (BNGO),214.6K,3.75,0.65,20.97
8,Hub Cyber Security Ltd. (HUBC),405.1K,3.62,0.61,20.17
9,Vishay Precision Group Inc. (VPG),1.2M,28.25,4.74,20.16
10,TuHURA Biosciences Inc. (HURA),211.6K,3.48,0.57,19.59
11,Silence Therapeutics PLC ADR (SLN),275.9K,2.89,0.47,19.42
12,DBV Technologies S.A. ADR (DBVT),488.1K,7.7,1.24,19.2
13,Inotiv Inc. (NOTV),774.7K,2.87,0.46,19.09
14,Jinxin Technology Holding Co. ADR (NAMI),52.0K,2.95,0.45,18.0
15,zSpace Inc. (ZSPC),86.1K,8.78,1.32,17.69
16,Mainz Biomed N.V. (MYNZ),132.0K,3.44,0.51,17.41
17,CoreWeave Inc. Cl A (CRWV),52.2M,61.36,8.79,16.72
18,Sionna Therapeutics Inc. (SION),292.8K,11.83,1.67,16.44
19,Clene Inc. (CLNN),57.0K,3.0,0.42,16.28
20,Red Cat Holdings Inc. (RCAT),7.5M,7.42,1.03,16.12
21,Hyperscale Data Inc. (GPUS),84.4K,2.68,0.36,15.77
22,Vision Marine Technologies Inc. (VMAR),2.0M,5.07,0.68,15.39
23,Monopar Therapeutics Inc. (MNPR),71.3K,38.53,5.1,15.26
24,authID Inc. (AUID),1.0M,5.52,0.73,15.24
25,Karyopharm Therapeutics Inc. (KPTI),94.4K,4.06,0.52,14.69
26,Galecto Inc. (GLTO),105.8K,3.23,0.41,14.54
27,Junee Ltd. (JUNE),156.8K,10.81,1.36,14.39
28,Palvella Therapeutics Inc. (PVLA),67.5K,26.97,3.38,14.33
29,Telomir Pharmaceuticals Inc. (TELO),478.1K,3.13,0.39,14.23
