,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CELH,"Celsius Holdings, Inc.",,29.97 +0.04 (+0.13%),0.04,+0.13%,173976,9.776M,7.047B,66.60,-65.35%,
1,CALM,"Cal-Maine Foods, Inc.",,91.86 +0.17 (+0.18%),0.17,+0.18%,10629,952893,4.506B,7.14,51.02%,
2,ASND,Ascendis Pharma A/S,,168.01 -0.83 (-0.49%),-0.83,-0.49%,3270,473606,10.096B,-,16.15%,
3,FINV,FinVolution Group,,9.86 +0.74 (+8.11%),0.74,+8.11%,200363,804863,2.562B,8.57,88.04%,
4,ENPH,"Enphase Energy, Inc.",,62.44 -1.36 (-2.13%),-1.36,-2.13%,272636,4.143M,8.271B,83.25,-41.55%,
5,DLO,DLocal Limited,,9.43 +0.01 (+0.05%),0.01,+0.05%,4889,1.244M,2.691B,24.17,-37.20%,
6,QFIN,"Qifu Technology, Inc.",,47.64 +0.51 (+1.08%),0.51,+1.08%,62852,1.257M,7.396B,8.36,155.17%,
7,AEO,"American Eagle Outfitters, Inc.",,11.90 -0.12 (-1.04%),-0.12,-1.04%,53450,5.008M,2.287B,7.09,-49.15%,
8,RNA,"Avidity Biosciences, Inc.",,33.51 -0.33 (-0.96%),-0.33,-0.96%,30408,1.348M,4.028B,-,42.20%,
9,SGBAF,SES S.A.,,6.50 +0.51 (+8.51%),0.51,+8.51%,1000,3363,3.06B,-,0.00%,
10,TME,Tencent Music Entertainment Group,,14.71 +1.65 (+12.63%),1.65,+12.63%,1.56M,7.488M,23.357B,27.75,18.30%,
11,LION,Lionsgate Studios Corp.,,8.19 +0.60 (+7.91%),0.6,+7.91%,754,335989,2.364B,-,-23.39%,
12,RXRX,"Recursion Pharmaceuticals, Inc.",,6.51 -0.34 (-4.90%),-0.34,-4.90%,1.217M,23.593M,2.615B,-,-36.37%,
13,TAL,TAL Education Group,,14.24 -0.07 (-0.52%),-0.07,-0.52%,63654,7.241M,8.608B,74.97,23.24%,
14,YOU,"Clear Secure, Inc.",,26.02 -0.35 (-1.31%),-0.35,-1.31%,30019,2.162M,3.562B,16.68,38.43%,
15,PBF,PBF Energy Inc.,,22.30 +1.56 (+7.52%),1.56,+7.52%,19935,2.563M,2.571B,-,-60.36%,
16,LITE,Lumentum Holdings Inc.,,67.43 -0.88 (-1.29%),-0.88,-1.29%,19722,2.383M,4.666B,-,46.84%,
17,SAIC,Science Applications International Corporation,,109.49 -2.41 (-2.15%),-2.41,-2.15%,13717,729251,5.352B,15.27,-11.70%,
18,HOOD,"Robinhood Markets, Inc.",,41.10 -0.92 (-2.19%),-0.92,-2.19%,1.953M,31.468M,36.392B,26.35,143.74%,
19,OTLY,Oatly Group AB,,9.39 -0.07 (-0.74%),-0.07,-0.74%,1385,254128,281.024M,-,-51.34%,
20,VEON,VEON Ltd.,,46.25 +1.50 (+3.35%),1.5,+3.35%,24586,137463,3.268B,8.23,86.61%,
21,SSUMY,Sumitomo Corporation,,24.80 +1.47 (+6.30%),1.47,+6.30%,42352,72782,30.008B,11.22,2.95%,
22,ORLA,Orla Mining Ltd.,,9.47 +0.23 (+2.49%),0.23,+2.49%,102959,825596,3.046B,-,159.55%,
23,AES,The AES Corporation,,12.81 -0.24 (-1.80%),-0.24,-1.80%,747837,15.469M,9.123B,5.41,-16.02%,
24,XIACY,Xiaomi Corporation,,38.21 +1.24 (+3.35%),1.24,+3.35%,32845,690443,186.31B,36.05,232.17%,
25,YMM,Full Truck Alliance Co. Ltd.,,13.63 -0.05 (-0.37%),-0.05,-0.37%,207802,7.509M,14.254B,33.24,90.53%,
26,TWST,Twist Bioscience Corporation,,41.60 -0.74 (-1.77%),-0.74,-1.77%,7977,969025,2.481B,-,25.23%,
27,GEV,GE Vernova Inc.,,328.42 -3.54 (-1.06%),-3.54,-1.06%,54280,4M,90.611B,58.86,133.74%,
28,MPWR,"Monolithic Power Systems, Inc.",,633.90 -6.74 (-1.05%),-6.74,-1.05%,6770,874322,30.342B,17.32,-1.48%,
29,YETI,"YETI Holdings, Inc.",,33.97 -0.03 (-0.10%),-0.03,-0.10%,20650,1.668M,2.798B,16.57,-6.82%,
30,TKAMY,thyssenkrupp AG,,10.05 +0.54 (+5.68%),0.54,+5.68%,200,125634,6.256B,-,89.62%,
31,DPZ,"Domino's Pizza, Inc.",,444.21 -5.39 (-1.20%),-5.39,-1.20%,6260,631905,15.235B,26.63,1.06%,
32,SQM,Sociedad Química y Minera de Chile S.A.,,45.51 +0.01 (+0.02%),0.01,+0.02%,13698,1.094M,12.172B,-,-5.35%,
33,HII,"Huntington Ingalls Industries, Inc.",,207.00 -0.13 (-0.06%),-0.13,-0.06%,11057,777101,8.1B,14.83,-28.75%,
34,M,"Macy's, Inc.",,13.75 -0.06 (-0.43%),-0.06,-0.43%,63779,7.14M,3.818B,6.64,-35.89%,
35,LIVN,LivaNova PLC,,41.11 -0.30 (-0.72%),-0.3,-0.72%,3823,627182,2.234B,35.44,-17.74%,
36,ALB,Albemarle Corporation,,79.37 +0.03 (+0.04%),0.03,+0.04%,28505,2.529M,9.332B,-,-34.18%,
37,CDE,"Coeur Mining, Inc.",,6.74 +0.31 (+4.82%),0.31,+4.82%,901610,17.36M,4.304B,44.93,112.21%,
38,XP,XP Inc.,,15.52 +0.06 (+0.42%),0.06,+0.42%,178088,7.402M,8.343B,10.86,-38.18%,
39,HGV,Hilton Grand Vacations Inc.,,36.67 -0.12 (-0.34%),-0.12,-0.34%,6244,940048,3.494B,81.50,-17.78%,
40,CROX,"Crocs, Inc.",,102.62 -1.25 (-1.20%),-1.25,-1.20%,13737,1.61M,5.753B,6.46,-21.14%,
41,ACHR,Archer Aviation Inc.,,8.15 -0.16 (-1.87%),-0.16,-1.87%,1.089M,34.084M,4.424B,-,73.49%,
42,BRRLY,Barry Callebaut AG,,13.60 +0.67 (+5.18%),0.67,+5.18%,21505,72053,7.454B,34.87,-6.28%,
43,LULU,Lululemon Athletica Inc.,,325.75 -1.34 (-0.41%),-1.34,-0.41%,18695,1.612M,39.671B,23.54,-30.00%,
44,UTHR,United Therapeutics Corporation,,322.32 -0.62 (-0.19%),-0.62,-0.19%,5206,434762,14.476B,13.08,34.90%,
45,PTCT,"PTC Therapeutics, Inc.",,56.28 -0.88 (-1.55%),-0.88,-1.55%,13616,726343,4.439B,-,87.87%,
46,VCEL,Vericel Corporation,,47.31 -0.29 (-0.62%),-0.29,-0.62%,5792,407758,2.364B,236.52,4.32%,
47,STNE,StoneCo Ltd.,,10.17 -0.02 (-0.16%),-0.02,-0.16%,41021,5.97M,3.019B,9.17,-37.37%,
