,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,GDS,GDS Holdings Limited,,34.29 +5.04 (+17.23%),5.04,+17.23%,6.312M,1.595M,6.479B,-,381.09%,
1,TVTX,"Travere Therapeutics, Inc.",,23.75 +2.65 (+12.56%),2.65,+12.56%,6.408M,1.295M,2.067B,-,155.76%,
2,BHVN,Biohaven Ltd.,,42.53 +4.28 (+11.19%),4.28,+11.19%,2.71M,965027,4.301B,-,-18.82%,
3,EDU,New Oriental Education & Technology Group Inc.,,54.55 +4.55 (+9.10%),4.55,+9.10%,3.726M,1.847M,8.921B,23.72,-45.19%,
4,TIMB,TIM S.A.,,14.72 +1.18 (+8.71%),1.18,+8.71%,917233,538510,7.126B,12.91,-26.85%,
5,LSCC,Lattice Semiconductor Corporation,,58.64 +4.17 (+7.66%),4.17,+7.66%,7.021M,1.986M,8.091B,133.27,-28.57%,
6,WTS,"Watts Water Technologies, Inc.",,224.67 +15.92 (+7.63%),15.92,+7.63%,429307,159366,7.486B,25.85,3.97%,
7,GOLF,Acushnet Holdings Corp.,,68.54 +4.71 (+7.38%),4.71,+7.38%,1.893M,275581,4.167B,22.85,-5.03%,
8,SOC,Sable Offshore Corp.,,24.84 +1.70 (+7.35%),1.7,+7.35%,2.298M,1.314M,2.213B,-,91.24%,
9,ZIM,ZIM Integrated Shipping Services Ltd.,,20.79 +1.42 (+7.33%),1.42,+7.33%,10.268M,6.479M,2.503B,1.74,60.75%,
10,DD,"DuPont de Nemours, Inc.",,81.48 +5.22 (+6.85%),5.22,+6.85%,6.365M,2.103M,34.058B,46.03,12.73%,
11,AMKBY,A.P. Møller - Mærsk A/S,,8.52 +0.54 (+6.77%),0.54,+6.77%,188016,195867,24.852B,4.41,2.84%,
12,GFS,GLOBALFOUNDRIES Inc.,,40.10 +2.36 (+6.25%),2.36,+6.25%,6.968M,1.654M,22.161B,-,-31.34%,
13,ECL,Ecolab Inc.,,261.23 +15.29 (+6.22%),15.29,+6.22%,2.964M,1.131M,73.97B,35.45,13.35%,
14,INTC,Intel Corporation,,20.97 +1.20 (+6.07%),1.2,+6.07%,149.716M,71.356M,90.8B,-,-55.26%,
15,NNN,"NNN REIT, Inc.",,40.24 +2.18 (+5.73%),2.18,+5.73%,3.702M,1.142M,7.547B,18.72,-4.80%,
16,NSP,"Insperity, Inc.",,85.49 +4.61 (+5.70%),4.61,+5.70%,885924,405896,3.183B,35.33,-12.52%,
