,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PVH,PVH Corp.,,75.11 -1.32 (-1.73%),-1.32,-1.73%,43156,1.208M,4.178B,7.11,-27.55%,
1,HSAI,Hesai Group,,17.17 -0.26 (-1.49%),-0.26,-1.49%,135187,4.393M,2.189B,-,236.49%,
2,CORZ,"Core Scientific, Inc.",,7.84 -0.16 (-2.00%),-0.16,-2.00%,415217,15.823M,2.312B,-,131.21%,
3,AUOTY,AUO Corporation,,5.05 +0.44 (+9.54%),0.44,+9.54%,100,57451,3.811B,-,-9.98%,
4,HCM,HUTCHMED (China) Limited,,15.55 -0.51 (-3.15%),-0.51,-3.15%,5604,91390,2.659B,77.75,-5.14%,
5,FMCC,Federal Home Loan Mortgage Corporation,,5.71 +0.36 (+6.73%),0.36,+6.73%,691505,6.227M,3.712B,-,304.96%,
6,APP,AppLovin Corporation,,274.51 -8.20 (-2.90%),-8.2,-2.90%,181022,8.143M,93.32B,60.73,288.00%,
7,MSTR,Strategy Incorporated,,297.21 -8.81 (-2.88%),-8.81,-2.88%,632999,18.408M,77.41B,-,90.53%,
8,DOOO,BRP Inc.,,35.64 -0.11 (-0.31%),-0.11,-0.31%,2355,201106,2.589B,60.41,-51.78%,
9,ASAN,"Asana, Inc.",,15.12 -0.19 (-1.24%),-0.19,-1.24%,33078,3.44M,3.524B,-,2.75%,
10,HIMS,"Hims & Hers Health, Inc.",,29.12 -1.93 (-6.22%),-1.93,-6.22%,1.03M,23.019M,6.469B,54.94,100.19%,
11,FINV,FinVolution Group,,10.06 -0.05 (-0.54%),-0.05,-0.54%,22617,998098,2.613B,8.04,98.24%,
12,RDDT,"Reddit, Inc.",,105.75 -4.30 (-3.91%),-4.3,-3.91%,255014,7.399M,19.131B,-,134.20%,
13,VIV,Telefônica Brasil S.A.,,9.12 -0.01 (-0.10%),-0.01,-0.10%,8398,877801,14.786B,15.46,-9.78%,
14,EGO,Eldorado Gold Corporation,,17.57 -0.03 (-0.17%),-0.03,-0.17%,54225,1.839M,3.61B,12.03,17.18%,
15,COOP,Mr. Cooper Group Inc.,,126.75 +1.67 (+1.33%),1.67,+1.33%,27243,746373,8.06B,12.20,65.14%,
